D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium	-0.00095	-0.000258734321234321	-0.0004102200259321	0.0880309162003713
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Unassigned	-0.00141666666666667	-0.000132907778496014	-0.00042359206840631	0.0914289762060896
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Lancefieldella	0.000133333333333333	-0.000534346046110752	-0.000427812319259688	0.0823666232751114
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	-0.000116666666666667	-0.000436297139393115	-0.000429691653375864	0.0836458315061766
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria	-0.001	-0.000318728901817137	-0.000431480898702261	0.159247952098558
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella	0.001	-0.000705206313294549	-0.000472064352056612	0.0794238350068505
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptoanaerobacter	-0.00055	-0.000562854792266557	-0.000497239422084623	0.0763307076979137
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Centipeda	0.002	-0.00103401435166141	-0.000521876425275268	0.346895585302834
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	-0.00165	-0.000169988344988345	-0.000539212378608663	0.0608457839781365
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania	0.00075	-0.000721571075982841	-0.000540896500300525	0.164828307456689
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Catonella	-0.00115	-0.000317181837770073	-0.00054452614379085	0.210718485038873
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	0.000183333333333334	-0.000612055428231899	-0.0005963350404998	0.156488051525543
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Eikenella	-0.00029047619047619	-0.000770995670995671	-0.000612692884171212	0.0890756392956161
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema	-0.00331666666666667	-0.000267662484574249	-0.000640121277930875	0.164858293969874
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	-9e-04	-0.000591361416361416	-0.000694784221850449	0.106566718814981
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	-0.00175952380952381	-0.000293589743589744	-0.00070190161837086	0.2894453969173
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	-0.0023	-0.000320492171227465	-0.000719496658312448	0.0804511013641408
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum	-0.000416666666666667	-0.000816021478521479	-0.000748894058298083	0.102558583225072
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter	-0.000416666666666667	-0.000806034080298786	-0.000779613863089095	0.14908867887641
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Anaeroglobus	-0.00132619047619048	-0.000900602583690819	-0.000893837535014006	0.102672683427408
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae|Parvimonas	0.00035	-0.00140279842706313	-0.00111529497764018	0.145575189546042
