module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
KOmodel_21-WTmodel_14	KOmodel_21	WTmodel_14	1	3	3	506	0.0309156759214944	0.0309156759214944
KOmodel_3-WTmodel_16	KOmodel_3	WTmodel_16	1	5	3	504	0.0461018897465262	0.0461018897465262
KOmodel_25-WTmodel_16	KOmodel_25	WTmodel_16	1	3	3	506	0.0309156759214944	0.0309156759214944
KOmodel_59-WTmodel_16	KOmodel_59	WTmodel_16	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_34-WTmodel_16	KOmodel_34	WTmodel_16	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_44-WTmodel_13	KOmodel_44	WTmodel_13	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_16-WTmodel_20	KOmodel_16	WTmodel_20	1	4	3	505	0.0385312698238793	0.0385312698238793
KOmodel_31-WTmodel_20	KOmodel_31	WTmodel_20	1	3	3	506	0.0309156759214944	0.0309156759214944
KOmodel_8-WTmodel_26	KOmodel_8	WTmodel_26	1	5	3	504	0.0461018897465262	0.0461018897465262
KOmodel_19-WTmodel_26	KOmodel_19	WTmodel_26	1	3	3	506	0.0309156759214944	0.0309156759214944
KOmodel_41-WTmodel_26	KOmodel_41	WTmodel_26	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_5-WTmodel_15	KOmodel_5	WTmodel_15	1	5	3	504	0.0461018897465262	0.0461018897465262
KOmodel_10-WTmodel_15	KOmodel_10	WTmodel_15	1	4	3	505	0.0385312698238793	0.0385312698238793
KOmodel_43-WTmodel_15	KOmodel_43	WTmodel_15	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_57-WTmodel_30	KOmodel_57	WTmodel_30	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_5-WTmodel_41	KOmodel_5	WTmodel_41	1	5	2	505	0.0347459598625559	0.0347459598625559
KOmodel_40-WTmodel_41	KOmodel_40	WTmodel_41	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_62-WTmodel_56	KOmodel_62	WTmodel_56	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_17-WTmodel_40	KOmodel_17	WTmodel_40	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_25-WTmodel_40	KOmodel_25	WTmodel_40	1	3	2	507	0.0232549302766046	0.0232549302766046
