ID	group	Group
657	ASV_1038	OEmodel_64	OE
658	ASV_1	OEmodel_136	OE
659	ASV_28	OEmodel_108	OE
660	ASV_135	OEmodel_90	OE
661	ASV_8	OEmodel_73	OE
662	ASV_174	OEmodel_63	OE
663	ASV_266	OEmodel_107	OE
664	ASV_340	OEmodel_65	OE
665	ASV_159	OEmodel_60	OE
666	ASV_44	OEmodel_62	OE
667	ASV_324	OEmodel_133	OE
668	ASV_132	OEmodel_129	OE
669	ASV_136	OEmodel_128	OE
670	ASV_6	OEmodel_126	OE
671	ASV_166	OEmodel_125	OE
672	ASV_220	OEmodel_124	OE
673	ASV_421	OEmodel_121	OE
674	ASV_11	OEmodel_119	OE
675	ASV_61	OEmodel_117	OE
676	ASV_169	OEmodel_116	OE
677	ASV_36	OEmodel_115	OE
678	ASV_41	OEmodel_114	OE
679	ASV_73	OEmodel_113	OE
680	ASV_390	OEmodel_112	OE
681	ASV_141	OEmodel_110	OE
682	ASV_228	OEmodel_109	OE
683	ASV_231	OEmodel_106	OE
684	ASV_47	OEmodel_105	OE
685	ASV_72	OEmodel_104	OE
686	ASV_75	OEmodel_103	OE
687	ASV_104	OEmodel_102	OE
688	ASV_244	OEmodel_101	OE
689	ASV_559	OEmodel_100	OE
690	ASV_454	OEmodel_99	OE
691	ASV_513	OEmodel_98	OE
692	ASV_316	OEmodel_97	OE
693	ASV_621	OEmodel_132	OE
694	ASV_226	OEmodel_130	OE
695	ASV_588	OEmodel_123	OE
696	ASV_491	OEmodel_120	OE
697	ASV_25	OEmodel_95	OE
698	ASV_502	OEmodel_94	OE
699	ASV_388	OEmodel_92	OE
700	ASV_441	OEmodel_91	OE
701	ASV_394	OEmodel_111	OE
702	ASV_137	OEmodel_89	OE
703	ASV_240	OEmodel_88	OE
704	ASV_74	OEmodel_87	OE
705	ASV_188	OEmodel_86	OE
706	ASV_197	OEmodel_85	OE
707	ASV_248	OEmodel_77	OE
708	ASV_430	OEmodel_84	OE
709	ASV_148	OEmodel_118	OE
710	ASV_157	OEmodel_83	OE
711	ASV_68	OEmodel_82	OE
712	ASV_65	OEmodel_81	OE
713	ASV_456	OEmodel_80	OE
714	ASV_282	OEmodel_79	OE
715	ASV_335	OEmodel_122	OE
716	ASV_325	OEmodel_93	OE
717	ASV_140	OEmodel_78	OE
718	ASV_540	OEmodel_96	OE
719	ASV_424	OEmodel_76	OE
720	ASV_487	OEmodel_75	OE
721	ASV_294	OEmodel_74	OE
722	ASV_401	OEmodel_127	OE
723	ASV_362	OEmodel_72	OE
724	ASV_435	OEmodel_71	OE
725	ASV_764	OEmodel_70	OE
726	ASV_113	OEmodel_69	OE
727	ASV_452	OEmodel_131	OE
728	ASV_245	OEmodel_68	OE
729	ASV_146	OEmodel_67	OE
