ID	sulfur_respiration	respiration_of_sulfur_compounds	knallgas_bacteria	dark_hydrogen_oxidation	fermentation	aerobic_chemoheterotrophy	human_pathogens_all	human_gut	human_associated	mammal_gut	animal_parasites_or_symbionts	aromatic_compound_degradation	nitrate_respiration	nitrate_reduction	nitrogen_respiration	fumarate_respiration	chemoheterotrophy
IS03P053	1.41497334797082	1.53147891704226	0	0	3.88513496606343	1.89762709129044	0	0	0	0	3.06333335895175	0	0	1.92941892571429	0	0	3.88744850024995
IS03P062	0	0	0	0	3.28869626059026	3.81130684008134	0	0	0	0	3.18554215485437	0	0	2.92064500140679	0	0	3.91671707759881
IS03P069	0.301029995663981	0.301029995663981	0	0	3.86171358757143	3.42357351973274	0	0.778151250383644	0.778151250383644	0.778151250383644	3.54232738277397	0.778151250383644	0	3.46908529912312	0	0	3.87209797427423
IS03P070	0	0	0.301029995663981	0.301029995663981	3.97104379183603	3.64581511829664	0.602059991327962	0.301029995663981	0.698970004336019	0.301029995663981	3.67052415778208	0	0	3.79802879340407	0	0	3.97446563573724
IS03P081	0.477121254719662	0.477121254719662	0	0	3.68124123737559	2.55144999797288	0	0	0	0	3.5950550897593	0	0	2.90794852161227	0	0	3.696443763139
IS03P082	0	0	0	0	3.76767522402796	2.01703333929878	0	0.477121254719662	0.477121254719662	0.477121254719662	3.48981790830145	0.301029995663981	0	2.24797326636181	0	0	3.76886000084296
IS03P083	0	0.301029995663981	0	0	3.58353881925435	3.68904233902817	0	0	0	0	3.46089784275655	0	0	3.13193929521042	0	0	3.87737134586977
IS07P013	0.602059991327962	0.698970004336019	0	0	3.82216807936802	3.67135800344349	0	0.602059991327962	0.602059991327962	0.602059991327962	3.64117654661311	0	0	3.5398285583779	0	0	3.91624333046534
IS07P020	0	0	0	0	3.80584054881467	3.6457169393696	0	0	0	0	3.57449426828533	1.04139268515822	0	3.42651126136458	0	0	3.91497747244433
IS07P027	0	0	0	0	3.74099393158489	3.51121470113639	0	0.301029995663981	0.301029995663981	0.301029995663981	3.3142886609475	0	0	2.97543180850926	0	0	3.90151280912994
IS07P033	0	0	0	0.301029995663981	3.74686762785043	3.42764837118693	0.602059991327962	0	0.602059991327962	0	3.55254654795566	0	0.301029995663981	3.40671045860979	0.301029995663981	0.301029995663981	3.83645071372015
IS07P038	0	0.477121254719662	0	0	3.64473392744719	3.59879050676312	1.14612803567824	0	1.14612803567824	0	3.38165648258579	0	0	2.97451169273733	0	0	3.88149877961498
IS07P039	0	0	0	0	3.66801297164183	3.15594301797184	0	0	0	0	3.60595115756487	0	0	3.07003786660776	0	0	3.74233228235715
IS07P043	0	0	0	0	3.7356787259059	3.68815275559157	0	0	0	0	3.44669246637153	0	0	3.34576569311449	0	0	3.93262594402178
IS07P052	0.301029995663981	0.477121254719662	0	0	3.76715586608218	3.35179630689702	0	0.301029995663981	0.301029995663981	0.301029995663981	3.30621050816776	1.39794000867204	0	3.00302947055362	0	0	3.88315019968328
IS07P053	0.477121254719662	0.477121254719662	0	0	3.88041339987792	1.74036268949424	0	0	0	0	2.99166900737995	0	0	1.79239168949825	0	0	3.88212591977003
IS07P062	0	0	0	0	3.85052370887899	3.17926446433903	0	0	0	0	3.49122157623928	0	0	3.14082218010931	0	0	3.87523494645016
IS07P069	0	0	0	1.30102999566398	3.77641058880734	3.21669359916975	0	0.903089986991944	0.903089986991944	0.903089986991944	3.54132957766669	0.845098040014257	1.30102999566398	3.26670196688409	1.30102999566398	1.30102999566398	3.79330135361311
IS07P070	0	0	0	0	3.8285310066451	2.42975228000241	0.301029995663981	0.845098040014257	0.903089986991944	0.845098040014257	3.10482840365366	0.698970004336019	0.301029995663981	2.5327543789925	0.301029995663981	0	3.83231726992226
