ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_73	-0.673	12.424	0.435240388954732	0.709083447250297	NotSig	0.411	0.911	0.259	0.163	0.011	0.922	0.183	0.013	0	0.002	0.002	0.017	0.005	0.002	0.057	0.187	0.386	0.064	0.079	0.067	0.046	0.11	0.199	0.087	0.174	0.156	0.085	0.845	0.251	0.267	0.043	0.136	0.02	0.195	6.583	2.731	0.026	0.077	0.104	0.057	0.394	0.028	0.073	6.039	0.516
ASV_311	0.568	10.686	0.436359044461721	0.709083447250297	NotSig	0.131	0.113	0.018	0.027	0.037	0.021	0.044	0.247	0.066	0.007	0.012	0.012	0.072	0.02	0.026	0.04	0.028	0.041	0.439	0.405	0.165	0.312	0.653	0.043	0.118	0.049	0.174	0.013	0.106	0.765	0.118	0.036	0.316	0.03	0.047	0.056	0.02	0.253	0	0.033	0.048	0.074	0.268	0.065	0.159
ASV_70	0.789	11.98	0.446484151682175	0.718626872707501	NotSig	0.363	0.201	0.066	0.091	0.002	0.332	0.039	0	0.007	0.002	0.021	0.005	0.003	0.006	0.023	0.026	2.698	0.049	0.029	0.045	0.085	0.105	0.005	0.014	0.156	0.155	0.056	0.033	4.469	0.041	0.056	0.029	0.033	0.034	3.932	0.058	0.001	0.077	0.006	0.065	0.558	0.08	0.318	0.455	0.049
ASV_57	-0.67	9.544	0.453414473381596	0.722153021943887	NotSig	0.048	0.11	0.092	0.016	0	0	0.323	0	0.002	0.002	0.006	0	0.031	0.002	0.043	0.065	0.016	0.016	0.007	0.011	0.011	0.228	0	0.001	0.03	0.004	0.003	0.05	0.166	0.006	0.102	0.011	0.209	0.131	0	0.002	0.1	0.45	0.006	0.047	0	0.023	0.084	0.263	0.009
ASV_199	0.921	7.585	0.457221144070982	0.722153021943887	NotSig	0.016	0.008	0	0	0.002	0	0	0	0.002	0	0	0	0	0	0.001	0	0.02	0	0.007	0.005	0	0.013	0	0.014	0.342	0.008	0	0.008	0.001	0	0.015	0.116	0.003	0.005	0.005	0.005	0.003	0.006	0	0.008	0.004	0	0.024	0	0.023
ASV_62	0.602	10.885	0.48060794791216	0.752062437010695	NotSig	0.164	0.125	0.112	0.211	0.052	0.383	0.844	0.154	0.964	0.284	0.23	0.321	0.594	0.747	0.001	0.007	0.008	0.001	0.079	0.009	0.076	0.008	0.001	0.058	0.117	0.018	0.006	0.018	0.022	0.01	0.018	0.008	0.007	0.01	0.137	0.055	0.166	0.428	0.018	0.388	0.001	0.026	0.04	0.068	0.03
ASV_110	-0.538	8.764	0.493179891072124	0.764655060469623	NotSig	0.029	0.05	0.041	0.028	0.064	0.19	0.091	0.005	0.014	0.052	0.008	0.135	0.126	0.067	0.004	0.002	0.005	0.001	0.003	0.031	0.003	0.008	0.017	0.012	0.004	0.006	0	0	0.004	0.025	0.012	0.001	0.006	0.005	0.014	0.008	0.03	0.208	0.039	0.128	0	0.013	0.003	0.01	0
ASV_881	0.674	12.27	0.503237683698918	0.773156077682884	NotSig	0.355	0.323	0.038	0.002	0.004	0.002	0.018	0.013	0.012	0.002	0.006	0.002	0.008	0	0.083	0.726	0.378	0.059	0.036	0.293	0.049	0.045	0.056	0.695	0.035	0.164	0.103	0.777	0.063	0.171	0.077	5.206	0.085	0.309	0.513	2.382	0.003	0.038	0.044	0.038	0.05	0.398	0.237	0.91	0.871
ASV_14	-0.498	13.194	0.532357500470409	0.795439300423628	NotSig	0.634	1.147	0.772	0.517	0.428	5.534	2.351	0.337	0.682	1.565	0.304	0.876	0.854	2.501	0.016	0.02	0.073	0.016	0.099	0.105	0.179	0.068	0.033	0.708	0.524	0.084	0.338	0.05	0.039	0.163	0.108	0.032	0.057	0.077	0.23	0.016	2.446	3.846	3.133	1.546	0.011	0.103	0.116	0.386	0.035
ASV_4	-0.466	15.742	0.533071137908684	0.795439300423628	NotSig	3.419	4.986	0.426	1.136	0.049	1.316	0.478	0.441	0.103	1.102	0.493	0.346	0.337	0.065	1.207	2.328	7.65	1.439	0.801	21.985	1.377	1.951	24.616	2.245	1.056	4.718	4.352	0.341	5.624	8.097	2.261	1.651	1.79	2.299	4.147	10.18	1.25	1.685	4.54	0.556	13.983	13.414	1.072	1.686	2.95
