orig_model	model	color	OTU	X1	X2
265	39	mini_model	#C1C1C1	ASV_678	-20.8331540153982	2.89446020867402
266	4	model_4	#E65948	ASV_779	-13.1793668783456	7.54197916171871
267	2	model_2	#BA2148	ASV_1033	9.02109857290302	4.99993085201942
268	4	model_4	#E65948	ASV_157	-6.69869181852661	7.2104782254669
269	1	model_1	#9E0142	ASV_190	-18.6585423901378	-1.70814433530098
270	1	model_1	#9E0142	ASV_206	6.17642104853958	-15.7079287383993
271	4	model_4	#E65948	ASV_357	-8.60644226788577	4.85822958785077
272	1	model_1	#9E0142	ASV_238	-11.3860490580795	-10.5602096863422
273	4	model_4	#E65948	ASV_512	-10.0904255249919	4.37094443427465
274	21	model_21	#466DB0	ASV_306	11.7928761169792	-22.5401457884031
275	4	model_4	#E65948	ASV_322	-13.4169477797753	6.31264127854087
276	4	model_4	#E65948	ASV_1763	-15.3683539795169	8.60052964535292
277	5	model_5	#F47346	ASV_1208	14.3351337064646	12.1903761362992
278	2	model_2	#BA2148	ASV_1116	9.77488272156762	-7.73438282639902
279	3	model_3	#FDB567	ASV_684	-0.896683014308647	-17.6082294944749
280	21	model_21	#466DB0	ASV_68	12.6782394069403	-22.336665236732
281	5	model_5	#F47346	ASV_142	0.30241051937277	-11.2897265338754
282	9	model_9	#FEF6B1	ASV_65	-7.61377982194477	16.52873387055
283	4	model_4	#E65948	ASV_1111	-13.9674544099604	7.29993059728021
284	1	model_1	#9E0142	ASV_56	-6.79773111397816	-3.92196907367874
285	1	model_1	#9E0142	ASV_257	-6.75589774390372	-6.15851509124468
286	3	model_3	#FDB567	ASV_339	-3.47450094518741	-13.8169160149862
287	1	model_1	#9E0142	ASV_611	-11.2148042811224	3.45426289217152
288	1	model_1	#9E0142	ASV_269	-3.50313037403667	4.95282561575508
289	1	model_1	#9E0142	ASV_934	-14.9134183305107	-3.51077606207362
290	1	model_1	#9E0142	ASV_331	-8.33994977869868	-8.45639268890728
291	1	model_1	#9E0142	ASV_278	-9.64085539083021	-1.04098866443199
292	1	model_1	#9E0142	ASV_282	-9.85096677601982	1.84065120558686
293	3	model_3	#FDB567	ASV_511	-4.09455743379369	-13.2973093180795
294	1	model_1	#9E0142	ASV_402	-13.1055826204045	1.40793358070297
295	1	model_1	#9E0142	ASV_292	-14.8960909581083	0.0332856040074497
296	1	model_1	#9E0142	ASV_96	-7.52714550859149	-0.038212844899262
297	1	model_1	#9E0142	ASV_105	-11.2924327299463	1.60889686454866
298	4	model_4	#E65948	ASV_573	-13.7937837695391	5.81428549744285
299	4	model_4	#E65948	ASV_897	-17.1558550508002	6.8319449171598
300	3	model_3	#FDB567	ASV_1293	-3.28137357096393	-16.1257977762242
