ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_113	-0.657	15.097	0.709547316749096	0.916442857299212	NotSig	0.284	0.448	0.109	0.067	0.225	0.208	1.276	0.018	0.425	0.025	0.78	0.014	1.068	0.082	0.1	0.188	0.095	0.126	0.021	0.179	0.143	0.175	0.081	0.566	0.209	0.579	0.23	0.679	0.003	3.506	0.086	0.003	0	0.278
ASV_34	-2.485	15.85	0.245510372996863	0.607706939578719	NotSig	0.13	0.727	0.099	0.113	0.343	0.526	0.133	0.01	0.05	0.089	0.116	0.369	0.028	0.012	0.189	0.028	0.007	0.095	0.001	0.054	0.065	0.769	0.029	0.238	0.2	0.623	0.052	5.906	0.004	0.098	0.064	0.146	2.623	0.035
ASV_69	-0.707	14.73	0.312552064375283	0.630151637327794	NotSig	0.301	0.491	0.04	0.085	0.191	0.676	0.122	0.005	0.355	0.01	0.244	0.327	1.152	1.559	0.089	0.149	0.009	0.076	0.022	0.052	0.509	0.258	0.044	0.268	1.082	0.325	0.121	0.844	0	0.445	2.718	0.27	0.001	0.425
ASV_62	-0.687	15.569	0.719760450651559	0.916442857299212	NotSig	0.551	0.887	0.03	0.051	2.08	1.506	0.06	0.007	0.548	1.461	0.004	0	0.548	1.003	0.075	0.024	1.904	0.051	0.01	0.025	0.205	0.171	0.042	4.86	2.206	0.171	0.087	0.12	0	4.253	0.26	0.001	0.005	0.897
ASV_49	0.042	14.442	0.73393495397638	0.916442857299212	NotSig	0.27	0.262	0.111	1.282	0.017	0.012	0.004	0.071	0.099	1.22	0.5	0	0.001	0	0.007	1.164	0.014	0.019	0.069	0.116	0.222	0.201	2.225	0.027	0.808	0.037	0.013	0.006	0.02	0.03	0.001	0.003	0.224	0.002
ASV_28	1.56	11.526	0.550347951145938	0.788210201217487	NotSig	0.017	0.006	0	0	0	0	0	0	0.295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.087	0	0	0	0
ASV_50	0.226	12.581	0.440731615185426	0.702675877040914	NotSig	0.076	0.065	0.03	0.613	0.022	0.019	0.019	0.543	0.03	0	0	0	0	0	0	0.001	0	0.003	0.007	0	0.007	0.029	0.399	0.041	0.299	0.08	0.091	0.004	0.007	0.001	0	0	0.013	0
ASV_58	0.825	12.91	0.4477562837466	0.707203850029677	NotSig	0.151	0.085	0.092	0.587	0.006	0.225	0.172	0.77	0.126	0	0	0	0	0	0	0.007	0.004	0.007	0.569	0.048	0.047	0.571	0.296	0.077	0.1	0.007	0.006	0.021	0.065	0.014	0.006	0	0.012	0.009
ASV_81	-0.146	14.966	0.39546984806831	0.681983717587188	NotSig	0.365	0.403	0.025	0.079	0.174	0.669	0.213	0	0.807	0.118	0.26	1.269	1.586	0.317	0.215	0.255	0.157	0.019	0.034	0.05	0.085	0.092	0.086	0.156	0.659	0.728	0.163	0.193	0	3.199	0.023	0.071	0.003	0.545
ASV_56	-3.006	15.235	0.395079673296797	0.681983717587188	NotSig	0.076	0.612	0.193	0.01	0.691	0.038	0.005	0.008	0.051	0.021	0.004	0.024	0.007	0.005	0.167	0.001	0.003	0	0.066	0.015	0.148	0.403	0.09	3.855	0.169	1.131	3.227	0	0.001	0.046	0	0.086	0	0.002
