#OTUID	IE03P013	IE03P020	IE03P027	IE03P052	IE03P053	IE03P062	IE03P069	IE03P070	IE07P013	IE07P020	IE07P027	IE07P052	IE07P053	IE07P062	IE07P069	IE07P070	IG00P013	IG00P020	IG00P052	IG00P053	IG00P062	IG00P069	IG00P070	IS00P013	IS00P020	IS00P027	IS00P033	IS00P038	IS00P039	IS00P043	IS00P052	IS00P053	IS00P062	IS00P069	IS00P070	IS00P081	IS00P083	IS03P020	IS03P027	IS03P033	IS03P038	IS03P039	IS03P043	IS03P052	IS03P053	IS03P062	IS03P069	IS03P070	IS03P081	IS03P082	IS03P083	IS07P013	IS07P020	IS07P027	IS07P033	IS07P038	IS07P039	IS07P043	IS07P052	IS07P053	IS07P062	IS07P069	IS07P070
ASV_184	2	3	0	9	5	32	9	1	2	6	3	8	3	23	4	2	5	2	2	4	3	7	0	4	35	1	18	18	5	9	6	0	2	0	0	25	4	26	1	6	25	2	12	0	0	0	1	2	0	0	18	4	18	2	8	8	1	11	4	0	0	4	2
ASV_132	15	0	0	0	6	0	41	15	2	0	0	0	0	0	9	0	5	0	0	0	0	12	13	6	0	0	0	0	0	20	1	0	0	0	0	0	0	1	0	0	1	36	0	0	0	0	0	0	0	0	0	9	0	0	0	0	46	1	3	0	0	0	1
ASV_196	3	8	14	0	0	0	0	0	0	1	31	0	0	0	0	0	1	0	0	0	0	2	0	3	0	2	1	4	0	2	3	1	0	0	2	0	0	2	2	8	1	0	2	3	2	1	3	0	0	1	4	0	0	4	2	1	1	1	8	91	0	1	3
ASV_160	7	19	0	0	0	37	2	9	10	9	0	0	1	4	60	2	19	7	1	0	0	2	29	1	0	0	3	0	0	0	0	2	3	0	1	0	0	0	0	4	0	0	12	1	80	2	0	0	0	0	0	53	39	0	2	3	1	42	1	17	0	2	0
ASV_229	4	12	4	0	2	0	5	27	16	138	4	0	0	0	10	0	21	48	1	0	0	1	8	0	7	0	7	2	1	0	0	3	6	0	0	2	3	8	0	1	4	1	0	1	1	0	1	0	0	0	1	4	14	0	6	0	1	1	0	0	0	0	2
ASV_195	2	2	0	2	3	62	0	20	2	6	0	0	5	81	73	10	14	1	1	0	102	2	34	3	2	0	8	15	15	6	1	0	0	0	0	13	7	14	0	18	25	1	6	0	0	1	4	0	1	1	1	9	1	0	11	183	29	8	0	0	0	2	1
ASV_201	0	5	20	0	0	0	0	0	0	1	7	0	0	0	0	0	0	55	0	0	0	2	0	0	3	0	0	2	1	0	3	8	0	0	0	0	0	2	0	1	0	1	13	0	0	0	2	0	0	0	0	0	0	0	0	1	0	8	54	1	0	1	2
ASV_153	6	9	1	3	2	0	2	8	100	8	0	31	0	0	7	0	4	11	2	13	0	0	3	5	1	1	6	6	0	3	0	2	0	10	2	0	0	8	0	3	3	3	7	0	0	0	3	0	0	0	2	25	6	2	3	7	17	5	1	0	2	2	1
ASV_226	0	0	0	2	3	6	0	0	3	5	0	7	8	4	2	0	0	0	1	1	1	0	0	0	8	11	2	0	1	1	3	0	0	0	4	0	0	0	5	4	1	0	2	1	0	1	2	0	6	0	0	0	4	11	2	0	0	0	0	0	0	72	30
ASV_162	1	6	0	0	0	0	0	0	1	98	0	1	1	0	0	0	3	1	0	2	0	0	3	0	1	0	11	0	0	0	11	3	0	1	3	0	0	0	1	5	0	0	1	2	58	0	0	24	4	0	1	0	2	1	8	0	0	0	2	13	0	8	1
ASV_231	0	18	0	6	2	0	0	2	0	7	3	302	2	0	0	0	0	0	27	74	13	0	0	4	0	1	4	1	2	0	0	0	1	1	4	3	0	0	1	0	1	0	0	0	0	3	0	0	2	0	0	10	11	1	0	1	0	0	0	0	2	1	0
ASV_171	17	0	0	0	0	0	0	2	2	0	0	0	0	0	5	0	3	0	0	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	13	0	0	0	0	0	0	0	0	0	3	7	0	0	0	1	0	0	0
ASV_194	0	4	0	0	0	1	17	9	0	11	0	0	2	2	5	30	0	5	2	0	0	7	5	0	7	0	5	1	1	0	0	5	0	1	2	0	1	5	0	1	0	6	2	0	0	0	3	0	4	13	1	1	3	1	1	1	1	0	31	0	1	4	2
ASV_183	0	0	1	2	0	0	0	1	0	0	2	0	13	0	1	0	0	0	0	1	0	0	0	0	0	14	519	59	3	7	1	0	0	0	0	0	1	0	18	237	0	11	0	0	0	0	2	0	0	0	0	0	0	6	426	13	11	1	0	0	0	2	1
ASV_175	0	8	0	0	3	22	1	6	0	7	0	3	5	6	95	19	1	0	2	1	1	1	38	1	2	0	4	14	0	1	0	0	0	0	7	0	0	2	1	31	4	2	5	0	4	0	0	0	0	0	0	9	10	0	18	22	2	11	1	0	3	2	0
ASV_172	7	0	0	0	0	0	18	13	4	0	3	0	0	0	14	15	113	0	0	0	2	11	60	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	1	5	2	0	1	0	0	0	22	0	0	0	17	0	2	2	1	1	0	1	2	0	0	40	17
ASV_301	0	0	7	0	0	0	2	0	1	1	9	0	0	0	3	0	0	0	1	0	0	0	1	0	5	2	6	2	1	0	0	1	16	1	0	0	0	0	0	1	5	0	1	0	0	594	1	0	0	2	0	0	0	2	0	2	1	1	1	1	325	4	3
ASV_433	2	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	58	0	4	2	0	0	0	0	0	0	0	0	2	0	0	16	2
ASV_309	4	2	8	2	2	0	0	0	0	3	1	0	0	0	0	0	2	5	0	0	0	0	0	0	2	1	1	0	0	0	1	1	0	2	10	0	4	1	0	0	1	0	1	13	4	2	11	1	0	0	0	0	2	1	0	0	0	0	1	0	0	172	7
ASV_173	43	0	1	16	2	0	9	2	2	0	0	2	5	0	0	0	1	0	1	17	0	5	1	3	2	6	5	0	5	9	0	53	2	0	0	0	0	5	39	12	1	4	2	2	0	0	0	0	0	0	0	1	6	1	2	1	14	3	21	0	0	0	0
ASV_333	11	1	34	0	0	0	0	5	7	2	6	1	1	1	3	0	19	2	0	0	0	0	4	12	0	1	4	2	0	2	0	1	0	0	2	3	4	10	3	1	1	1	1	2	2	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	4	4
ASV_577	1	0	2	16	12	44	3	0	1	7	0	6	5	7	3	13	7	1	8	3	7	10	3	22	47	4	14	14	28	17	107	1	2	0	0	17	3	40	2	16	7	12	30	1	0	1	6	5	2	0	4	28	15	4	60	8	5	23	0	1	4	6	3
ASV_342	1	6	4	0	0	0	2	14	1	99	2	0	0	0	9	0	3	34	0	0	0	1	22	1	1	1	6	2	0	1	0	4	6	0	3	1	0	3	2	3	6	1	0	0	0	0	1	1	0	1	0	1	4	4	6	0	0	0	1	0	0	0	2
ASV_214	2	1	1	2	5	2	3	6	2	0	2	3	4	2	5	2	10	0	5	0	15	12	8	1	0	0	3	1	2	1	2	8	1	58	23	0	0	7	1	2	2	4	2	1	0	6	3	17	1	2	0	2	3	0	0	1	1	3	6	2	22	13	1
ASV_204	0	0	0	1	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	0	0	0	0	0	0	0	0	0	0	3	1	0	6	0	0	0	0	0	0	0	0	0	0	0	8	374
ASV_223	7	3	0	0	2	1	3	26	2	14	1	7	0	11	20	3	27	2	1	3	0	1	81	0	14	1	3	4	0	0	1	8	1	0	0	0	0	5	1	7	2	1	1	2	5	1	0	0	0	0	0	0	6	1	4	5	0	0	10	3	2	2	0
ASV_255	6	0	0	0	1	0	1	0	5	0	0	0	0	0	0	0	4	0	0	0	0	15	1	0	0	0	12	0	0	0	1	7	1	1	0	0	0	0	0	2	0	0	2	1	0	0	5	1	2	4	1	2	0	0	1	0	0	0	12	1	5	4	9
ASV_164	0	15	0	2	0	10	0	11	0	10	0	1	1	0	7	11	0	0	5	0	3	3	0	5	2	9	2	5	0	0	0	0	0	0	0	145	0	77	8	4	22	1	0	0	0	0	0	0	0	0	2	1	28	4	2	10	1	0	0	0	0	1	0
ASV_282	3	5	11	4	2	2	0	9	4	6	0	4	3	2	4	1	6	0	2	0	2	2	3	1	1	1	9	4	2	1	1	23	29	1	1	0	1	8	7	2	5	0	1	1	1	7	6	1	7	60	3	11	8	3	2	5	2	2	52	6	12	17	8
ASV_286	4	9	7	0	1	0	0	0	6	15	2	0	0	0	1	0	26	46	0	0	0	0	0	1	0	1	0	0	0	1	5	1	3	4	3	0	2	1	0	0	2	0	0	24	17	0	5	0	12	6	0	11	4	0	1	0	1	0	1	3	0	13	5
ASV_483	2	5	7	0	1	0	2	0	13	1	5	0	1	5	0	0	26	49	3	0	1	2	0	0	1	0	3	0	0	0	1	6	2	1	2	0	3	1	10	4	1	1	0	60	6	2	6	2	8	1	0	5	2	10	1	1	2	1	8	3	0	8	6
ASV_190	0	3	0	0	2	404	6	0	1	2	0	6	1	369	0	1	0	3	2	1	5	13	0	6	37	1	0	13	2	3	13	0	0	0	1	2	1	49	9	1	2	1	8	0	0	0	0	13	4	1	51	0	5	8	4	2	0	3	1	0	0	18	0
ASV_280	4	1	0	5	24	4	0	5	0	1	0	27	13	14	5	0	1	0	3	54	0	1	8	3	0	8	2	21	3	6	0	1	0	0	2	2	0	2	9	5	2	6	2	1	1	0	0	1	0	2	20	0	1	3	4	1	11	1	0	0	0	2	1
ASV_786	0	0	1	57	11	2	0	7	1	0	1	22	46	0	20	2	0	1	9	87	0	1	12	0	2	5	19	13	39	15	6	5	14	1	0	0	0	0	10	17	16	38	8	4	0	1	0	0	2	1	10	1	0	2	10	8	24	4	6	0	1	1	0
ASV_246	1	4	9	0	1	0	0	0	8	3	14	2	0	0	2	0	61	32	1	0	0	2	0	4	1	0	2	0	0	0	2	26	11	4	6	0	0	4	0	0	1	3	0	4	50	4	2	4	17	2	1	4	1	2	3	0	3	2	5	10	1	3	6
ASV_358	3	3	1	1	3	0	0	0	10	7	1	1	1	0	0	0	124	76	0	0	2	0	0	3	0	0	0	1	3	1	2	0	0	0	6	0	1	0	0	0	1	1	0	0	2	0	1	0	1	41	1	10	3	0	0	0	6	0	0	2	1	0	9
ASV_368	4	6	15	0	2	0	0	0	8	1	11	3	0	1	1	0	1	46	1	0	0	0	0	0	2	2	12	3	0	1	2	4	2	0	7	0	34	1	6	3	0	0	5	22	5	3	8	1	39	8	0	0	3	8	4	0	0	4	2	2	1	5	3
ASV_178	0	0	0	7	1	1	3	30	4	0	0	2	0	1	19	1	9	0	2	9	197	2	8	0	0	0	11	50	15	7	0	5	0	1	0	1	0	0	0	11	32	1	47	0	0	0	0	1	0	0	4	0	0	0	7	37	40	91	1	0	0	5	0
ASV_241	0	3	0	3	1	0	30	6	4	1	0	3	2	3	2	31	1	0	4	1	4	36	2	1	0	2	5	9	4	11	1	0	0	1	0	1	23	5	1	3	2	3	21	0	1	0	2	0	1	0	157	0	1	6	18	5	2	8	0	0	3	16	0
ASV_222	0	0	0	1	4	0	5	209	0	0	1	6	0	0	37	18	0	0	0	1	0	5	49	0	0	0	24	6	4	1	2	0	0	0	4	0	0	0	0	14	3	1	1	5	0	0	3	3	0	1	0	0	0	1	12	4	0	0	0	0	0	3	4
ASV_361	0	6	50	0	3	0	5	4	0	7	126	1	3	1	0	0	0	5	0	0	0	2	6	0	2	0	0	0	0	0	2	0	1	4	6	0	0	0	0	2	0	3	0	2	0	0	5	2	90	5	0	2	1	18	0	0	0	1	3	1	1	6	5
ASV_507	0	8	5	5	89	5	0	0	3	3	9	14	12	0	1	4	1	7	55	7	0	1	0	7	8	100	2	7	16	6	6	1	0	1	5	0	0	5	25	5	3	5	8	8	1	3	37	18	1	2	0	6	1	22	9	2	8	6	7	0	3	6	7
ASV_426	0	0	0	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	114	0	0	2	0	0	0	0	3	1	0	3	0	1	0	5	0	5	1	6	1	0	1	0	1	2	0	6	0	1	2	2
ASV_251	12	2	10	0	2	0	0	5	12	23	12	0	0	0	2	0	1	0	8	0	0	3	8	0	0	0	7	1	0	0	2	7	70	164	2	0	0	0	1	13	6	0	1	0	7	1	8	3	0	0	0	0	0	0	6	0	0	1	4	0	4	11	1
ASV_224	0	0	0	9	0	0	6	0	4	0	0	7	1	0	4	0	0	0	9	8	0	7	2	1	1	0	4	0	1	1	0	64	1	0	0	0	0	0	4	2	1	4	0	1	0	0	0	0	0	0	0	1	2	0	6	1	8	0	16	0	1	0	0
ASV_363	0	0	3	0	0	0	0	1	1	2	0	0	0	0	0	0	2	28	3	0	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	4	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	8
ASV_205	0	4	0	2	6	4	48	1	0	54	0	0	5	2	17	29	0	5	26	0	1	33	4	13	96	0	2	1	0	0	17	0	0	2	0	0	0	106	0	0	0	0	0	0	0	0	30	0	0	0	0	17	53	0	0	1	0	0	0	0	0	1	0
ASV_234	11	0	1	18	4	0	31	1	3	0	0	56	275	0	4	3	0	0	11	13	24	41	2	4	1	16	5	2	10	4	0	1	0	0	0	65	0	0	0	6	3	9	0	1	0	0	0	0	0	0	39	3	0	5	8	1	4	1	2	0	0	0	2
ASV_334	0	1	1	1	1	0	2	0	0	0	0	3	10	0	0	0	0	5	2	0	0	0	2	0	3	1	3	1	3	13	0	0	0	0	0	0	0	0	4	4	0	73	1	2	1	0	0	0	0	0	0	0	2	1	12	0	38	1	0	0	0	1	5
ASV_262	2	9	2	1	13	0	25	5	2	2	3	0	12	0	25	20	8	39	1	1	0	11	8	1	6	8	3	2	0	0	2	0	0	17	3	0	0	1	3	3	0	3	8	0	0	0	1	1	0	0	4	2	3	4	0	0	0	0	0	0	0	4	5
ASV_198	1	21	1	3	0	1	0	3	0	36	0	6	1	0	5	18	0	2	3	5	0	0	5	4	4	0	3	13	0	0	0	0	0	0	0	10	0	58	0	3	5	3	6	0	0	1	1	2	2	0	1	1	16	2	5	8	2	3	0	1	0	0	9
ASV_219	0	0	0	9	8	0	0	7	0	0	0	6	3	0	15	0	0	0	115	13	0	3	9	0	0	0	1	0	0	1	0	0	0	300	8	0	0	0	0	1	0	8	3	0	0	0	53	4	0	0	0	0	0	0	0	0	3	3	0	1	5	6	1
ASV_216	0	0	83	0	0	0	0	0	0	0	283	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	1	0	0	0	1	0	0	1	0	1	86	0	0	0	0	0	0	0	0	0
ASV_228	0	3	1	1	1	0	28	5	1	2	0	1	4	0	5	0	2	3	0	2	12	40	1	4	7	3	2	3	1	1	0	10	2	0	0	5	5	5	7	3	1	1	2	1	0	0	0	1	0	0	2	6	10	11	4	4	2	0	5	0	1	0	4
ASV_1119	0	4	0	1	5	1	0	0	0	0	0	2	3	0	0	0	0	0	0	2	4	0	2	0	0	0	6	0	0	3	1	9	0	2	1	0	0	2	0	2	0	0	4	0	0	0	2	1	14	1	0	0	1	0	3	0	0	0	3	1	0	14	33
ASV_276	6	0	1	7	1	11	28	25	5	0	1	11	5	12	10	14	5	6	0	4	4	23	14	2	36	1	1	0	0	0	0	6	0	2	6	2	30	3	0	0	2	1	0	0	0	1	9	6	0	0	1	0	2	0	1	1	1	0	0	0	0	19	3
ASV_269	1	0	0	9	29	7	8	0	2	1	2	19	8	4	10	2	0	1	7	10	6	3	7	66	8	97	3	6	11	16	5	2	0	0	0	43	7	9	8	2	2	11	7	1	0	4	0	0	1	0	15	6	1	11	2	2	4	7	0	0	0	8	0
ASV_793	1	0	0	2	1	13	5	25	7	0	0	2	1	3	15	9	8	0	1	2	4	2	12	0	1	1	4	9	1	1	4	15	0	0	1	0	10	2	2	0	4	3	2	1	0	1	3	3	1	0	1	0	0	1	1	1	1	2	4	1	24	9	0
ASV_472	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	9	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	1	2	0	0	3	111
ASV_303	0	1	1	0	0	0	0	6	0	4	2	0	0	0	1	0	2	3	1	0	0	2	6	6	3	0	1	3	0	0	0	0	0	0	1	0	0	1	2	5	5	1	0	0	15	3	1	0	0	1	4	1	1	1	3	4	0	0	0	0	0	3	17
ASV_273	13	2	14	0	0	0	2	52	5	7	44	0	1	0	19	0	6	21	0	0	0	2	65	3	2	0	9	2	0	0	2	2	1	0	0	0	0	3	0	4	1	0	0	3	3	0	4	0	0	0	0	0	4	4	2	0	0	0	3	48	0	7	1
ASV_297	0	0	0	2	0	2	1	6	6	0	0	2	0	3	5	0	0	0	4	0	20	1	3	8	3	0	3	3	0	0	3	190	1	44	2	0	0	103	0	2	0	0	3	2	0	0	11	0	0	0	1	9	40	0	0	1	1	3	11	2	0	2	1
ASV_488	7	7	0	9	128	8	1	0	5	1	0	20	18	0	0	1	3	2	54	13	0	0	2	10	1	196	8	8	44	13	0	0	3	0	1	2	2	4	31	9	2	25	8	1	0	0	17	2	0	0	0	1	0	19	9	7	16	16	0	0	1	2	1
ASV_237	11	2	17	0	0	0	0	1	28	1	15	0	0	0	1	0	15	0	0	0	0	0	1	7	0	0	0	5	3	0	0	0	10	1	0	0	0	2	0	3	15	3	2	0	0	4	0	0	0	0	2	18	4	0	6	65	5	6	0	3	4	0	1
ASV_218	0	0	2	21	8	0	2	1	0	0	1	16	26	2	12	0	1	0	3	14	2	1	10	0	1	4	9	9	19	9	0	6	0	1	2	1	0	3	7	7	4	28	5	0	0	1	0	0	3	0	2	1	1	2	3	5	46	8	3	0	0	2	0
ASV_299	3	1	0	1	3	0	8	17	1	0	0	4	2	0	34	61	2	8	21	5	45	103	18	1	1	0	45	9	6	3	0	0	0	7	2	0	5	1	0	5	1	20	12	0	0	0	23	18	0	0	0	1	0	2	36	2	15	110	1	0	0	3	2
ASV_341	0	0	12	1	0	0	0	0	1	1	16	0	0	0	0	0	0	12	0	0	0	2	0	2	4	1	1	4	2	0	0	5	0	0	2	0	0	4	1	1	1	2	1	47	2	0	2	0	60	3	0	0	0	7	0	0	1	0	9	3	0	7	1
ASV_264	0	0	2	0	2	0	0	1	1	0	0	1	0	0	2	0	6	0	4	0	0	0	2	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	16	0	2	0	0	1	2	0	0	3	0	2	0	1	2	0	1	0	0
ASV_350	1	0	6	0	3	2	2	2	1	2	5	0	0	0	1	0	54	4	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	4	3	2	0	0	0	0	7	0	0	0	0	0	1	1	0	3	1	0	0	0	0	0	0	0	0	17
ASV_615	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	2	5	0	0	1	0	1	0	1	0	0	1	1	1	1	0	2	0	0	0	0
ASV_244	5	2	1	14	5	0	1	6	0	2	3	19	9	1	18	0	0	1	8	58	0	3	15	2	9	3	3	2	27	3	0	8	1	0	1	3	2	3	4	14	1	11	5	0	0	1	0	1	4	0	3	3	0	6	3	13	79	5	2	0	0	0	0
ASV_256	0	0	1	3	2	5	9	13	1	9	2	4	14	6	5	0	0	1	1	4	4	20	11	0	11	2	10	4	25	10	1	1	0	0	0	0	0	0	11	11	6	18	4	0	1	0	1	1	0	2	5	0	0	3	14	2	27	4	2	0	0	0	0
ASV_355	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	3	0	2	0	1	0	5	14	0	0
ASV_324	1	0	1	13	21	6	9	1	0	2	0	53	32	2	4	0	1	0	5	45	3	4	6	17	3	27	4	3	18	7	3	1	0	0	1	14	3	8	2	4	2	4	1	0	0	1	1	1	0	2	1	24	4	0	8	5	7	0	1	0	0	3	2
ASV_265	0	0	1	79	1	0	5	82	4	0	1	6	0	0	25	0	0	1	1	41	0	8	34	0	0	0	50	16	34	42	0	0	0	0	0	0	0	0	13	52	2	7	0	0	0	5	2	0	0	0	0	0	1	1	86	13	27	13	0	1	3	1	0
ASV_259	0	0	0	25	5	0	3	1	0	0	0	5	6	1	2	0	0	1	12	48	3	41	1	0	10	0	16	2	3	7	0	0	0	0	1	9	0	7	2	48	3	5	0	0	0	0	1	1	0	0	1	0	4	1	11	8	7	1	0	0	0	1	0
ASV_232	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	26	1	0	2	8	0	0	10	1	0	2	20	1	0	4	0	1	82	2	0	12	0	2	0	0	0	3	1	0	0	3	2	16	5	2	8	0	5	0	0	0	3	2
ASV_215	0	0	11	0	1	5	3	0	28	0	8	1	2	3	1	0	1	9	4	0	2	2	3	1	0	1	1	0	0	5	0	8	2	7	0	1	0	0	2	7	4	1	2	1	0	0	2	0	7	0	4	2	0	2	1	1	0	3	8	0	1	0	2
ASV_260	0	0	0	0	0	0	1	7	0	0	0	0	0	0	41	0	0	0	0	0	0	1	43	0	0	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
ASV_570	1	1	16	1	0	0	1	0	2	2	1	0	0	0	0	0	21	4	1	1	0	0	1	1	0	0	1	1	0	0	2	0	1	1	1	0	0	2	0	2	0	3	1	0	0	1	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	2	6
ASV_456	1	0	11	0	2	0	1	1	0	0	2	8	0	0	0	2	1	0	0	1	4	0	6	1	8	0	3	0	0	0	0	19	3	1	4	6	0	1	6	0	1	0	0	0	0	0	1	0	0	0	0	0	4	4	1	1	0	0	23	0	2	0	4
ASV_409	1	0	1	3	4	0	0	0	3	0	5	1	3	2	2	0	1	6	1	9	0	1	4	0	0	2	3	7	17	4	1	0	1	0	8	0	0	0	3	1	0	58	5	0	0	0	4	15	1	1	0	4	0	2	0	4	32	3	2	0	0	25	2
ASV_242	0	2	0	1	1	3	1	167	2	4	0	1	6	0	44	44	3	0	3	2	58	120	42	0	1	0	3	5	1	1	1	1	0	41	1	0	2	0	0	11	0	8	14	0	0	1	6	0	0	0	1	1	2	0	5	1	13	68	0	8	0	3	0
ASV_252	11	0	3	26	2	0	4	135	23	2	0	26	1	1	23	0	1	1	6	41	0	5	64	2	3	2	7	1	6	6	0	0	2	0	3	0	2	13	5	11	3	17	3	1	0	0	0	0	0	0	7	6	5	5	12	2	20	0	0	0	0	1	0
ASV_388	0	0	1	3	1	0	0	2	1	0	0	1	0	0	2	6	0	2	0	2	0	0	4	0	1	0	3	7	1	0	25	2	4	1	43	1	0	1	3	0	0	3	1	26	1	0	8	4	8	0	3	0	0	0	2	1	6	0	5	0	1	65	2
ASV_293	0	0	0	7	12	0	2	2	0	0	0	2	6	0	0	0	1	0	49	3	0	0	0	0	0	0	3	1	0	0	0	1	0	364	4	0	0	0	0	1	2	0	0	0	5	0	24	4	0	0	0	0	0	0	2	0	2	0	2	1	0	17	3
ASV_238	0	0	0	0	0	2	0	3	0	0	0	0	1	0	3	9	0	3	0	0	0	1	7	0	5	53	1	11	6	1	0	0	0	0	0	4	218	3	74	1	8	0	1	0	0	0	0	0	0	0	3	0	2	162	1	6	0	0	0	0	0	0	0
ASV_313	0	0	13	0	1	0	0	0	0	0	17	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	2	1	0	0	9	4	3	0	0	1	4	0	0	0	0	3	4	0	0
ASV_250	3	3	4	1	0	0	1	8	1	72	1	0	0	0	5	0	1	0	13	0	0	4	13	0	0	1	0	4	0	0	0	0	0	25	0	0	5	0	1	1	2	0	1	0	9	0	8	0	0	2	0	0	0	0	4	3	0	1	2	4	2	1	6
ASV_345	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	40	0	0	0	0	0	0	0	0	0	536	1	0
ASV_249	1	1	0	6	1	1	6	4	0	0	1	11	20	4	5	0	0	1	0	11	0	3	6	3	2	49	3	2	17	6	0	10	2	1	0	1	3	1	22	6	2	9	3	0	0	0	1	1	7	3	2	1	0	11	5	0	10	5	2	0	0	5	5
ASV_338	0	0	0	0	11	1	0	2	0	0	0	0	13	0	1	1	0	1	0	0	0	2	0	1	2	119	66	9	3	1	1	0	0	0	0	5	0	1	22	11	11	5	10	2	0	4	1	0	0	5	8	2	1	20	20	4	6	4	0	0	5	1	0
ASV_292	37	0	1	11	3	0	0	0	1	0	0	1	32	0	0	3	0	0	1	9	0	1	0	1	2	0	6	0	8	7	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	3	2	1	0	5	0	1	1	6	0	0	0	0
ASV_285	3	2	0	1	2	5	7	0	3	19	0	6	8	7	0	0	3	5	0	0	2	5	4	8	6	1	1	1	9	0	1	84	0	0	2	2	0	28	8	0	1	2	1	4	0	0	3	1	0	0	3	3	31	15	1	0	1	0	26	0	5	5	4
ASV_233	0	0	0	0	0	0	30	0	3	0	0	0	0	0	12	0	0	0	3	0	0	37	0	0	0	0	0	2	0	0	0	0	0	0	0	7	1	0	0	1	0	0	0	0	0	0	5	0	0	0	1	7	1	0	1	0	0	0	0	0	0	3	1
ASV_556	1	12	15	1	1	0	0	0	1	9	9	0	0	0	0	0	3	0	3	0	0	1	0	0	2	0	1	2	2	1	5	4	1	10	3	0	0	0	1	4	1	0	0	1	0	2	3	0	3	1	1	1	2	0	1	3	0	0	4	15	26	2	2
ASV_257	0	8	0	3	5	0	15	50	0	15	0	7	2	1	106	0	0	1	94	4	6	26	26	2	1	0	8	6	4	1	1	0	0	5	4	0	0	0	0	0	7	3	11	0	0	0	59	1	2	1	0	8	19	0	2	6	5	13	0	1	0	7	1
ASV_491	0	0	2	2	11	10	69	30	4	0	0	2	1	7	8	3	0	0	0	2	13	19	16	1	1	1	2	12	1	1	0	0	1	1	0	2	2	3	0	4	24	1	6	0	0	3	0	7	1	0	16	16	2	4	2	15	0	6	1	0	3	0	2
ASV_270	0	14	0	0	0	0	0	1	0	6	1	0	0	0	0	0	1	14	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	93	1	0	0	0	0	1	0	0	0	2	0	7	6	0	0	1	0	0	0	0	0	0	0	0	1	0
ASV_227	1	9	0	0	0	4	1	2	1	3	0	0	1	0	12	28	0	4	2	2	186	1	8	0	0	2	0	1	0	1	0	0	0	0	0	17	0	0	0	2	2	0	3	0	0	0	0	0	0	0	2	11	9	0	1	22	1	2	0	1	0	0	0
ASV_754	0	0	0	0	1	5	5	0	2	0	0	0	0	0	0	2	1	4	1	0	0	3	2	1	0	2	1	1	0	0	0	2	1	1	0	2	12	0	2	0	0	2	0	15	3	1	0	1	0	15	5	0	0	0	2	0	0	1	0	0	0	9	4
ASV_307	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	2	6	0	0	1	0	0	0	0	2	0	0	0	48	2	0	30	0	0	0	3	0	0	0	0	0	0	0	10	1	0	0	0
ASV_314	2	0	0	4	0	3	3	13	0	5	0	2	2	2	24	0	0	62	1	24	0	2	12	0	0	3	9	2	8	6	0	0	0	0	0	10	6	3	6	6	1	33	2	0	0	0	1	0	2	0	5	0	0	4	10	0	17	6	1	0	0	3	0
