OTUID	All	med	post	pre
ASV_372	0.038362	0.011494083	0.105929953	0.005298852
ASV_885	0.037958	0.03494164	0.03700179	0.04205990
ASV_306	0.030852	0.01751202	0.04517378	0.03202065
ASV_394	0.02982	0.03945550	0.01932492	0.02911277
ASV_1126	0.028915	0.02560412	0.01315662	0.04687076
ASV_331	0.031315	0.03802712	0.02515852	0.02976711
ASV_1219	0.029467	0.01520853	0.01583853	0.05718720
ASV_263	0.03652	0.0005471187	0.0014258189	0.1071031452
ASV_399	0.032845	0.02268017	0.03319173	0.04340326
ASV_590	0.029553	0.01466196	0.01300187	0.06062180
ASV_304	0.033035	0.03463348	0.03395071	0.03048621
ASV_475	0.030254	0.023626693	0.004033367	0.061327943
ASV_945	0.030022	0.02278633	0.03747505	0.03094577
ASV_495	0.029256	0.03115762	0.01503590	0.04022974
ASV_594	0.026963	0.02807306	0.01697663	0.03490920
ASV_403	0.02861	0.03863111	0.02762410	0.01879159
ASV_567	0.025927	0.03582942	0.01420608	0.02605577
ASV_546	0.031355	0.02399206	0.03085216	0.03969306
ASV_439	0.030092	0.04389873	0.01634654	0.02789393
ASV_761	0.028353	0.02130600	0.01423936	0.04880196
ASV_452	0.032359	0.01625920	0.01330507	0.06701267
ASV_437	0.028492	0.02760071	0.02543688	0.03223957
ASV_398	0.029671	0.03625778	0.01473599	0.03628614
ASV_391	0.034713	0.044831528	0.052631729	0.007498135
ASV_1023	0.028107	0.01461872	0.01375575	0.05566492
ASV_418	0.030715	0.04411417	0.01539526	0.03039471
ASV_482	0.029287	0.02519228	0.03912857	0.02466490
ASV_1199	0.035034	0.04206419	0.03573069	0.02687645
ASV_321	0.031544	0.03059966	0.01642755	0.04638168
ASV_471	0.03114	0.03650423	0.01001064	0.04472767
ASV_685	0.028084	0.02122756	0.04570952	0.01929759
ASV_395	0.027311	0.04446188	0.01225169	0.02273753
ASV_381	0.032549	0.02596710	0.02175663	0.04946343
ASV_356	0.0304	0.02437719	0.04396573	0.02443258
ASV_1066	0.027339	0.012939111	0.009908115	0.058688743
ASV_1072	0.033422	0.02931049	0.03911995	0.03260805
ASV_312	0.023948	0.050796713	0.008717312	0.009157373
ASV_485	0.027214	0.04743022	0.00875044	0.02247687
ASV_353	0.027901	0.02608283	0.04992428	0.00970108
ASV_330	0.026949	0.04381800	0.02396416	0.01163289
ASV_419	0.02373	0.02440127	0.02056247	0.02590973
ASV_357	0.026761	0.02036224	0.03379718	0.02717015
ASV_351	0.024487	0.03350586	0.01839812	0.02040780
ASV_295	0.021329	0.054548688	0.002964159	0.002589759
ASV_589	0.025181	0.02263428	0.01956005	0.03304760
ASV_930	0.025189	0.02279764	0.01432423	0.03768475
ASV_378	0.027654	0.02280190	0.02140235	0.03856424
ASV_545	0.025092	0.01948501	0.01656460	0.03888969
ASV_440	0.024382	0.01399897	0.05838768	0.00438471
ASV_383	0.027034	0.03354062	0.03452938	0.01321772
ASV_427	0.028817	0.02121393	0.03907205	0.02757122
ASV_382	0.022908	0.02489126	0.01505780	0.02796657
ASV_374	0.029433	0.02872931	0.03466806	0.02539861
ASV_604	0.024689	0.02061977	0.01072329	0.04181833
ASV_366	0.023773	0.01404715	0.04966296	0.01049394
ASV_458	0.027165	0.02242569	0.02937667	0.03021188
ASV_397	0.027227	0.007320212	0.009901724	0.064371105
