#OTUID	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	DE07P016	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076	DE08P017	DE10P016	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS04P138	DS04P194	DS04P86	DS05P114	DS05P196	DS06P140	DS06P180	DS07P016	DS07P037	DS07P049	DS07P054	DS07P060	DS07P065	DS07P076	DS07P172	DS07P193	DS08P017	DS08P191	DS10P016	DS10P049	DS10P054	DS10P166
ASV_451	0	1	0	0	1	3	11	0	1	3	0	0	0	4	24	3	0	0	7	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	9	0	0	3	0	0
ASV_480	4	7	0	0	0	0	0	0	0	6	0	0	0	0	0	11	0	14	3	0	0	1	0	1	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	22	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	83	0	0	1	0	14	0	0	0	0	0
ASV_753	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	41	2	0	10	135	14	0	1	6	0	0	0	0	0	1	0	56	0	0	0	4	5	0	4	1	1	20	29	2	3	0	7	4	0	0	0	0	1	2	0	0	0	2	11	0	0	0	0	0	0	6
ASV_461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	414	0
ASV_574	0	3	1	0	0	4	1	0	0	1	0	2	15	10	4	1	0	2	0	0	13	0	3	0	0	5	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0
ASV_652	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	2	0	1	1	69	1	2	0	0	26	0	27	27	0	0	0	2	0	1	0	0	0	0	1	0	9	3	7	4	0	21	16	0	0	0	1	0	0	0	0	8	1	0	3	0	1	1	0	0	0	0	1	0	0	0
ASV_767	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	43	0	0	1	0	0	8	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	1	2	6	1
ASV_1165	5	1	0	0	0	0	0	0	0	4	0	0	0	0	0	25	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	18	8	0	0	0	38	1	0	0	0	0	0	2	0	0	0	0	0	3	1	1	22	1	34	33	0	0	2	49	0	0	11	0	4	0	0	0	0	1	0	0	0	0	13	0	4	0	1	0	0	4
ASV_636	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	22	0	0	0	44	16	0	17	1	0	0	1	0	1	8	0	10	0	0	0	1	0	0	23	57	0	23	6	1	0	0	0	22	0	0	0	1	1	0	0	0	0	0	7	0	1	0	0	0	0	0
ASV_948	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	74	3	0	0	0	0	0	6	0	35	2	1	0	0	1	1	5	21	0	0	0	2	0	0	1	0	5	1	0	0	0	0	0	0	0	0	6	1	1	11	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0
ASV_821	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	1	0	0	2	7	10	6	6	3	7	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	4	9	6	3	0	0	0	0	0	0	0	3	5	0	8	0	1	0	8
ASV_1090	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	35	6	0	0	0	37	8	0	9	0	0	0	1	1	2	0	0	0	0	1	12	0	50	5	0	0	2	2	0	0	5	3	0	3	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_527	1	1	0	0	1	1	0	0	0	0	0	1	0	4	0	6	0	0	1	0	1	0	0	0	1	1	0	32	0	0	0	1	0	0	0	2	0	0	0	0	0	5	0	1	0	0	5	0	0	1	0	1	0	6	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	1	17	0	0
ASV_655	0	0	1	0	2	2	0	1	2	1	0	5	0	0	9	0	7	0	0	2	0	1	4	0	2	1	1	0	1	0	0	1	38	1	0	0	0	0	28	0	0	0	0	1	2	0	0	4	2	0	0	0	1	7	1	0	10	0	0	1	0	0	0	3	3	0	0	0	7	1	0	0	8	0	0	0	2	0	52	2	1	0	0
ASV_663	4	0	1	0	6	2	2	0	0	0	0	4	0	1	5	0	0	0	1	1	1	3	2	0	1	2	1	0	0	0	8	1	19	30	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	1	5	105	3	1	0	7	0	0	2	6	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0
ASV_1216	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	7	0	1	0	1	0	0	0	0	0	3	0	0	0	6	4	1	8	4	3	1	36	0	0	0	2	0	0	0	1	4	0	2	0	0	3	1	0	1	0	1	3	0	161	0	13	1	0	0	0	5	0	1	0	1	1	0	8	0	0	9	2	0	3	18
ASV_627	0	0	0	1	8	0	2	0	0	0	0	0	133	0	0	0	0	0	0	2	0	2	0	0	0	0	6	0	0	0	1	1	1	0	0	0	0	0	3	1	0	0	0	0	2	3	0	0	0	0	0	0	1	12	5	19	11	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	3	0	0	0
ASV_664	0	0	7	2	14	6	19	0	0	2	1	3	1	4	64	1	0	0	0	5	1	4	15	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_721	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	4	0	0	0	0	3	0	0	0	0	0	0	5	29	40	6	0	2	0	1	1	0	1	0	4	0	0	0	0	0	0	0	4	11	1	1	0	0
ASV_450	0	0	0	1	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0	2	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV_831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	3	0	0	0	0	1	0	0	0	8	16	5	10	18	14	3	5	9	0	0	1	0	0	26	0	28	0	0	0	6	14	1	5	3	0	14	9	2	1	0	8	0	0	0	0	0	0	63	0	0	0	3	0	0	0	2	0	4	0	2
ASV_608	4	2	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	14	0	0	0	9	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0	1	0	270	0	0	7	0	25	0	0	3	0	3	0	0	0	0	0	0	2	0	4	4	0	0
ASV_683	0	0	1	1	0	2	9	0	0	0	2	0	1	4	9	0	0	0	0	1	96	0	0	0	0	1	0	1	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0
ASV_581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	14	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0
ASV_532	0	0	1	0	1	0	1	0	0	4	0	0	0	0	0	0	123	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	4	0	0	1	0	0	1	1	0	0	0	0	0	7	1	49	1	0	0	0	0	0	0	0	7	1	0	0	0	0	0	1	0	0	0	32	0	1	0
ASV_478	0	1	1	3	2	1	0	0	0	1	2	0	3	0	3	2	0	0	0	0	3	4	5	0	1	0	6	0	0	2	1	18	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	116	0	0	0	0	2	2	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	8	1	0	1	0	2	4	1	1	0	0
ASV_558	0	0	0	0	0	1	2	0	0	0	0	0	1	25	1	0	5	0	0	0	0	0	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
ASV_497	0	0	0	0	1	0	0	0	0	5	0	0	0	6	0	53	23	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	6	3	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	4	0
ASV_763	5	0	2	2	0	3	1	0	0	12	3	2	0	3	0	2	77	0	1	10	16	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	3	0	14	0	0	0
ASV_448	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_670	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	7	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	17	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	1	3	0	0
ASV_596	0	1	2	0	1	0	0	2	0	12	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	15	0	0	0	0	0	0	0	0	0	5	2	0	2	0	33	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	2	2	6	0	1	0	0	0	0	6	1	0	1
ASV_1209	0	0	3	0	3	1	0	0	1	1	0	4	3	0	3	0	0	0	0	0	43	0	3	0	0	26	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	18	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_542	15	4	1	0	0	0	0	7	0	7	0	0	0	1	0	7	3	2	5	0	0	0	0	0	0	1	0	1	3	13	0	0	8	6	6	0	3	15	20	0	0	0	6	1	0	0	35	1	8	0	1	1	0	0	2	7	7	0	1	0	0	0	0	12	7	3	6	0	1	3	4	0	2	1	0	0	0	0	0	2	0	1	4
ASV_698	0	0	10	0	0	1	1	0	0	0	3	2	1	7	0	0	0	0	0	11	0	1	0	0	0	3	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0	0	1	0	0	0	0	0	0	0	1	0
ASV_417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_724	0	0	0	2	5	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	2	0	0	15	1	3	0	2	0	8	16	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	12	2	69	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	66	0	7	0	0	0	1
ASV_516	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	6	0	1	1	0	6	6	5	0	0	2	0	0	0	0	1	0	0	0	0	0	9	1	18	9	0	0	0	303	0	0	14	1	1	0	0	1	0	0	1	0	0	0	2	3	0	0	0	0	0	2
ASV_847	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	4	0	1	6	0	0	0	5	0	0	0	0	0	4	0	0	2	21	1	0	26	1	5	0	1	0	2	4	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	3	4	2	3	0	5	0	0	0	0	1	0	0	0	0	0	0	40	0	3	0	0	0	0	83
ASV_1079	0	0	2	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	6	3	0	0	5	0	0	0	0	11	3	0	3	0	27	1	8	6	1	0	0	0	0	14	0	0	1	3	0	0	0	0	0	0	5	0	1	16	3	1	0	0	6	0	18	0	3	3	0	0	0	0	10	0	0	0	0	14	0	0
ASV_830	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	1	1	0	0	1	0	0	0	1	0	23	2	0	15	0	0	2	20	0	0	0	0	1	1	0	0	0	0	0	3	4	107	5	72	78	0	8	0	0	0	0	50	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0
ASV_623	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	1	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	1	0	0	0	0	0	10	2	0	3	0	0	0
ASV_749	0	0	0	0	0	2	0	0	3	2	0	0	3	5	0	0	8	0	0	0	0	0	5	0	0	1	1	0	1	1	0	0	0	0	2	0	0	5	2	2	0	7	1	0	0	0	6	3	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	5	0	2	0	16	1	0	0	2	0	2	0	0	6	0	1	0
ASV_717	2	1	0	0	1	0	0	3	2	1	0	1	3	0	0	0	0	0	0	0	0	0	0	10	1	0	0	6	0	0	0	1	0	11	0	6	0	1	0	52	8	58	1	1	1	1	0	0	0	0	0	0	0	0	7	0	0	0	0	1	13	0	5	10	0	8	0	0	2	0	3	0	0	0	0	0	0	0	0	2	4	0	14
ASV_588	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	109	9	0	0	0	0	0	0	0	0	0	27	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	4	3	1	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	8	0
ASV_723	5	0	0	0	1	2	0	0	0	0	0	0	0	5	0	2	0	1	1	0	1	0	1	0	0	0	0	2	0	0	1	0	31	11	0	4	0	5	3	0	5	0	1	1	1	0	0	0	0	0	0	0	0	18	0	12	9	0	8	2	9	2	0	13	4	2	0	0	1	0	2	4	0	0	1	13	0	0	0	1	4	0	12
ASV_537	0	0	0	0	1	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	34	1	0	0	5	0	3	2	0	0	1	12	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	13	0	0	0	0	0	3	5	0	0	0	1	0	0	0	2	0	0	0	0	23	3	0
ASV_777	0	1	0	0	0	0	0	0	0	3	0	0	1	3	1	3	0	3	2	0	1	0	1	2	3	3	0	1	0	1	0	8	0	0	0	55	0	4	0	12	0	1	0	0	0	0	1	2	1	0	3	0	0	0	0	6	1	0	0	0	2	2	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	2	8	43
ASV_609	6	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	1	0	0	0	5	0	0	0	0	1	2	5	0
ASV_743	1	0	0	1	2	4	1	0	0	4	0	1	0	6	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	2	6	0	0
ASV_629	0	0	1	8	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	2	35	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV_676	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_699	1	2	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	2	0	0	0	0	0	0
ASV_523	3	0	1	0	0	1	0	0	5	1	0	0	0	10	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	1	0	3	0	1	0	1	0	0	9	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	212	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3
ASV_505	3	0	2	0	1	6	2	0	0	0	0	0	9	10	0	0	0	6	1	3	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_597	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	0	29	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0
ASV_694	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	47	0	0	0	0	1	0	0	0	0	0	0	0	0	37	1	0	1	0	2	79	38	0	0	0	205	4	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0
ASV_746	0	0	0	0	0	1	0	3	1	0	0	14	0	1	1	1	0	0	1	0	10	0	20	0	1	0	0	0	2	1	1	0	0	1	0	0	0	0	13	0	0	0	0	1	8	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	39	8	1	0	0
ASV_962	0	0	0	0	0	1	0	0	0	2	0	0	0	11	0	8	17	0	0	0	0	0	1	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	3	3	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	11	0	0	0	0	0	0	0	5	0
ASV_468	0	0	0	0	0	0	1	7	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	37	0	1	0	0	1	0	0	0	0	0	1	0	0	55	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	25	1	1	0	200	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV_647	5	4	0	1	2	1	0	0	0	3	0	0	0	0	0	3	6	1	4	0	0	1	0	0	0	0	0	0	0	0	0	2	0	17	0	10	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	2	3	2	7	25	0	0	1	9	0	4	0	0	0	0	0	9	0	0	0	1	0	62	0	0	1	0	9	5	0	4
ASV_918	3	11	0	0	3	5	0	1	0	6	0	0	1	0	0	2	2	4	3	0	0	2	9	0	0	4	0	0	0	0	0	2	4	14	1	0	0	1	0	0	0	0	2	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	12	6	1	0	0	0
ASV_650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_492	0	0	0	2	22	1	1	2	0	0	1	1	3	0	4	0	0	1	0	0	0	25	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
ASV_835	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	5	0	1	8	0	0	0	0	0	0	1	0	0	0	0	0	0	20	0	0	3	0	16	8	0	0	0	0	0	0	0	6	0	0	0	0	0	8	12	0	1	22	0	0	0	45	0	0	10	0	75	0	0	0	1	0	2	0	0	0	1	1	0	49	0	1	0	0
ASV_544	0	0	1	0	0	4	1	0	0	4	0	2	4	28	1	0	19	0	0	0	0	0	0	0	1	36	0	0	3	5	0	0	0	0	0	0	0	0	5	0	0	0	2	6	10	0	0	0	0	0	0	0	0	8	1	0	2	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	1	0	0	2	11	13	10	1	0	1	0
ASV_656	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	7	2	0	8	0	0	0	5	0	3
ASV_1085	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	3	11	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	3	0	1	2	0	0	0	0	0	13	2	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	1	1	25	0
ASV_552	0	0	4	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0
ASV_540	0	0	0	1	10	0	0	0	0	0	0	0	4	0	0	1	2	0	2	0	0	0	5	0	0	0	0	0	0	0	2	0	13	11	0	0	0	2	0	1	7	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	3	0	5	3	0	0
ASV_441	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	13	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_709	1	0	1	1	0	0	5	0	0	11	2	0	2	0	1	0	4	2	1	1	0	0	0	0	1	1	0	1	0	0	0	0	2	3	0	0	0	13	0	5	0	25	2	5	0	0	0	0	0	2	0	1	1	1	8	0	2	0	0	0	26	0	0	0	0	3	0	1	9	0	1	0	0	0	0	0	1	0	0	11	1	3	0
ASV_771	7	2	0	1	0	0	0	0	2	6	0	0	0	3	1	5	1	4	0	1	0	0	0	0	1	0	0	0	8	0	0	2	12	1	2	11	3	0	0	0	0	0	2	2	0	0	1	0	0	0	1	1	0	8	4	5	11	2	4	7	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	8	3	0	0	0	2	22
ASV_582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_823	0	0	1	2	2	2	3	0	0	0	1	3	0	18	1	0	0	1	0	2	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	3	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	1	4	0	1	0	0	0
ASV_638	0	0	0	1	0	1	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	15
ASV_840	1	0	0	1	9	0	1	0	0	1	1	0	4	1	0	0	0	0	0	1	0	0	0	0	0	1	11	0	0	0	9	1	3	0	0	0	0	1	3	0	0	0	5	0	1	2	0	0	0	0	0	0	2	18	0	8	2	0	1	1	4	0	0	88	1	28	0	0	2	0	0	0	0	0	0	0	0	0	0	6	1	0	0
ASV_807	3	1	0	0	0	0	0	2	0	1	0	0	1	1	0	4	4	1	6	0	0	2	1	0	0	1	0	0	0	0	0	0	0	7	25	18	4	0	10	11	0	0	0	1	0	0	0	0	6	0	0	0	11	0	1	0	0	0	1	1	1	36	0	4	11	0	2	1	1	0	0	0	0	0	0	54	0	1	26	0	0	0	7
