OTUID	All	E	S
ASV_668	0.021336	0.01414311	0.02618411
ASV_370	0.02239	0.01770252	0.02554923
ASV_693	0.020088	0.01270323	0.02506502
ASV_934	0.022024	0.03444545	0.01365235
ASV_455	0.022565	0.02800060	0.01890263
ASV_442	0.017888	0.000161194	0.029834123
ASV_730	0.021888	0.01980594	0.02329045
ASV_557	0.020222	0.0139069	0.0244781
ASV_571	0.019184	0.006841056	0.027502158
ASV_624	0.020388	0.00826989	0.02855496
ASV_979	0.019497	0.007045556	0.027888782
ASV_464	0.019959	0.02415620	0.01713072
ASV_518	0.026027	0.04853482	0.01085821
ASV_503	0.021343	0.02376811	0.01970905
ASV_467	0.019952	0.007922042	0.028058353
ASV_386	0.031658	0.0003154001	0.0527796311
ASV_362	0.02131	0.046632851	0.004244655
ASV_549	0.02198	0.02784614	0.01802626
ASV_526	0.019538	0.01413770	0.02317689
ASV_393	0.03265	0.0005915145	0.0542540902
ASV_501	0.019203	0.0129230	0.0234344
ASV_561	0.018424	0.009819672	0.024221889
ASV_989	0.021693	0.042383870	0.007749125
ASV_842	0.018249	0.001819094	0.029321491
ASV_473	0.022169	0.02671768	0.01910354
ASV_595	0.017209	0.003653792	0.026343821
ASV_950	0.021036	0.01351257	0.02610549
ASV_535	0.01952	0.01526888	0.02238484
ASV_739	0.018567	0.01175295	0.02315890
ASV_1224	0.019109	0.00886914	0.02600985
ASV_354	0.014521	0.0009962326	0.0236346884
ASV_751	0.020503	0.01850831	0.02184770
ASV_453	0.022665	0.009513103	0.031528738
ASV_504	0.021662	0.01192314	0.02822451
ASV_486	0.018805	0.007538404	0.026398059
ASV_894	0.019128	0.02721982	0.01367530
ASV_976	0.01904	0.01033183	0.02490875
ASV_937	0.019994	0.008959707	0.027429777
ASV_443	0.020638	0.02492840	0.01774706
ASV_502	0.021373	0.02186640	0.02104064
ASV_508	0.019566	0.02547612	0.01558334
ASV_499	0.016222	0.005809052	0.023238909
ASV_536	0.019065	0.02789442	0.01311491
ASV_580	0.019955	0.01243737	0.02502130
ASV_591	0.023979	0.03359147	0.01750121
ASV_756	0.020366	0.006193449	0.029916936
ASV_479	0.016733	0.01816563	0.01576817
ASV_702	0.017463	0.01379634	0.01993334
ASV_1118	0.020376	0.01966832	0.02085289
ASV_447	0.017591	0.02231951	0.01440442
ASV_659	0.017318	0.01032921	0.02202838
