OTUID	All	D	H	I
ASV_188	0.048892	0.03658824	0.05458354	0.03498896
ASV_249	0.047911	0.04361670	0.05327347	0.02660074
ASV_737	0.046757	0.21846016	0.01015526	0.03202527
ASV_891	0.039332	0.04046290	0.02995059	0.08379352
ASV_137	0.05899	0.02355351	0.07459468	0.02278424
ASV_282	0.044382	0.03320572	0.04951624	0.03192715
ASV_592	0.03871	0.01038707	0.04440966	0.04278859
ASV_258	0.041145	0.237648024	0.004139357	0.000479322
ASV_316	0.050205	0.14133399	0.03703135	0.01190385
ASV_165	0.046504	0.08349047	0.04545215	0.01002002
ASV_415	0.037728	0.01378089	0.04879286	0.01072879
ASV_162	0.040635	0.01267295	0.05185844	0.01737723
ASV_219	0.047276	0.009364873	0.059833408	0.028706197
ASV_166	0.046596	0.160771922	0.029364423	0.002149323
ASV_290	0.04419	0.09780015	0.03135688	0.04643769
ASV_484	0.041231	0.0003804524	0.0571811937	0.0094327613
ASV_105	0.038741	0.006924649	0.052549480	0.007215404
ASV_563	0.048706	0.004241617	0.010979132	0.282648636
ASV_323	0.040077	0.04657696	0.03581170	0.05355521
ASV_203	0.043111	0.02776679	0.04748313	0.03905678
ASV_262	0.043591	0.01636977	0.04591652	0.06287898
ASV_443	0.043985	0.01307202	0.04781502	0.06008888
ASV_358	0.040949	0.09406410	0.03317236	0.01910277
ASV_491	0.039892	0.02852910	0.02050391	0.14719247
ASV_378	0.03914	0.004824725	0.046124237	0.043695599
ASV_353	0.040018	0.03021749	0.04432352	0.03005443
ASV_341	0.038879	0.0198490	0.0474338	0.0185848
ASV_164	0.03371	0.09916883	0.01805656	0.03637592
ASV_310	0.04231	0.007623789	0.045567737	0.065448303
ASV_529	0.039288	0.114050360	0.028272152	0.008882056
ASV_686	0.037563	0.00831114	0.04978289	0.01089844
ASV_309	0.040369	0.12514672	0.02607701	0.01466667
ASV_109	0.041637	0.01359463	0.05093097	0.02787354
ASV_178	0.033736	0.01017047	0.03560138	0.05115255
ASV_361	0.038861	0.02011102	0.03669484	0.07051388
ASV_305	0.045508	0.02086919	0.05769398	0.01382311
ASV_388	0.036836	0.00934483	0.04867845	0.01003195
ASV_286	0.040515	0.05609607	0.03826850	0.03394008
ASV_430	0.045113	0.004057525	0.062628895	0.005908460
ASV_314	0.032916	0.04385711	0.02822679	0.04346513
ASV_294	0.037754	0.03705228	0.03787335	0.03796032
ASV_408	0.037205	0.030744433	0.044661406	0.008121302
ASV_664	0.040814	0.065322122	0.042160461	0.006679933
ASV_225	0.032485	0.04071264	0.03438922	0.01394278
ASV_457	0.038731	0.002075667	0.052860564	0.011089850
ASV_591	0.034925	0.01573084	0.04433308	0.01065271
ASV_381	0.029622	0.01387704	0.01216544	0.13243295
ASV_524	0.048997	0.01547732	0.05961616	0.03493684
ASV_368	0.033721	0.01325243	0.03865983	0.03267072
ASV_583	0.035493	0.01345951	0.04556458	0.01118312
ASV_297	0.037078	0.02313672	0.04537629	0.01230562
ASV_317	0.03047	0.09536252	0.01762497	0.02008833
ASV_125	0.041598	0.002273554	0.041203015	0.087762099
ASV_399	0.032217	0.04545651	0.03257800	0.01556480
ASV_325	0.029547	0.03824369	0.02944135	0.02027754
ASV_969	0.027097	0.008760258	0.034250408	0.012854920
ASV_921	0.028956	0.003849363	0.040580324	0.000533828
ASV_374	0.029476	0.04392958	0.02253482	0.04705608
ASV_107	0.027146	0.02184833	0.02140932	0.06107080
ASV_1078	0.025002	0.138937330	0.003305329	0.002597375
ASV_250	0.03439	0.01833788	0.03901234	0.02991316
ASV_420	0.030422	0.06104858	0.02314540	0.03144199
ASV_812	0.046127	0.008178835	0.062914966	0.006975067
