OTUID	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
ASV_225	20.125	27.33333	28.125	29.41176	57.73077	52.06667	30.93939	23.12821	38.68571	139.78	119.28571	28.7	17.85714	9.25	11.875	13.07143	16.14286	20.83333
ASV_179	111.625	30.88889	111.25	15.29412	139.92308	132.73333	28.63636	27.4359	19.11429	37.72	44.64286	54.675	44.14286	84.25	73.25	58.57143	51.78571	85
ASV_281	23.625	15.444444	3.875	35.823529	10.615385	24	37.393939	64.615385	11.942857	63.26	74.666667	191.35	8.714286	7.25	6	5	7.785714	10.5
ASV_230	26	39.888889	91.625	22.117647	8.615385	14.733333	97.242424	110.333333	111.171429	22.68	37.690476	38.55	46.857143	49	55.75	54.285714	20.5	15.916667
ASV_192	78.25	29	46.5	13.23529	23.53846	22.13333	82.12121	62.10256	60.25714	24.14	15.7381	32.75	32.85714	32	24.25	409.85714	26.21429	43.5
ASV_184	98.375	61.33333	127.125	24.88235	29.38462	59.86667	78.39394	80.92308	61.2	35.1	45.92857	32.425	28.14286	55.75	56.375	49.57143	36.57143	24.75
ASV_132	21.125	108	112.875	0.1176471	16.9615385	9.5333333	36.1818182	33.025641	6.2285714	137.82	80.6428571	73.525	35.2857143	61	9	8.7857143	8.0714286	25.6666667
ASV_196	28.125	12	4.125	61.529412	9.038462	17.066667	82.848485	102.74359	85.6	65.4	63.02381	19.525	4	19.375	20.5	6.714286	11.714286	75.166667
ASV_160	37.875	287.666667	40.875	6.235294	18.653846	7.4	67.333333	127.564103	24.942857	29.94	51.428571	20.975	53.714286	72.625	78.625	5.571429	53.5	74.583333
ASV_229	14.25	19.444444	45.375	124.705882	230.423077	169.8	16.121212	12.153846	68.171429	27.12	11.047619	17.75	76.857143	46.625	152.875	10	9.857143	11.333333
ASV_195	45.375	44.888889	33.5	9.058824	18.346154	18.933333	59.151515	105.205128	64.085714	27.12	39.571429	37.9	165.285714	92.625	171.875	24.428571	24.357143	85.416667
ASV_201	39.375	13.666667	73.75	25.705882	7.115385	41.533333	38.060606	9.051282	18.6	21.28	228.619048	81.45	45	14.125	7.625	6.142857	6.642857	21.333333
ASV_153	57.75	63	23.75	38.41176	139.19231	19.4	17.69697	65.51282	69.77143	34.2	57.83333	38.65	34.85714	20.75	118.625	15.71429	15.85714	29.83333
ASV_226	7.625	15.333333	70.5	123.647059	402.153846	2.266667	13.333333	15.641026	22.285714	32.28	11.095238	10.85	2.428571	8	19.75	7.857143	9.285714	79.166667
ASV_162	7.625	8.222222	20.25	115.764706	15.692308	6.933333	19.575758	34.717949	38.771429	28.18	168.952381	58.275	6.714286	11.75	96.75	15.928571	48.857143	22.25
ASV_231	512.875	109.555556	23.625	1.647059	39.615385	35.266667	56.151515	21.282051	101.085714	31.48	11.238095	12.7	116.714286	21.25	262.25	8.142857	2.5	11.083333
ASV_171	9.5	38.111111	11.25	15	58.384615	1.466667	112.30303	49.102564	67.285714	147.02	15.52381	3.9	7.285714	13.5	6.875	6	6.785714	3
ASV_194	26.75	65.88889	103.625	303	39.19231	93.46667	18.84848	96.25641	20.02857	33.6	26.88095	13.625	19	21.25	31.875	11.21429	13.85714	17.58333
ASV_183	5.875	28.777778	68.625	15.117647	35.230769	10.6	24.606061	15.871795	71.571429	27.24	60.285714	78.6	1.142857	4.125	10.375	173.714286	87	149.833333
ASV_175	39	105.111111	34.75	4.941176	12.576923	13.666667	30.727273	37.25641	64.885714	134.4	39.952381	33.6	45.142857	36.375	99.625	9.714286	14.5	27.416667
ASV_172	1.375	1.777778	12.25	25.647059	473.884615	8.066667	19.848485	8	4.4	19.12	14.166667	8.975	176.142857	41	24.5	3.857143	22.928571	39.083333
ASV_301	3.5	8.888889	2.875	3.352941	9.307692	15.333333	62.575758	19.435897	9.6	107.5	63.619048	18.575	3.428571	10.75	9.75	9.428571	236.071429	187.583333
ASV_433	1.875	5.888889	6.375	395.882353	7.230769	7.733333	9.545455	6.948718	3.371429	105.5	13.333333	94.35	6.857143	3.5	3.125	1.714286	42.428571	11.916667
ASV_309	25.125	76.333333	29.625	23.882353	95.076923	63.533333	43.060606	14.358974	3.628571	133.22	14.571429	48.775	5.428571	8.75	4.875	8.071429	19.071429	116.583333
ASV_173	19.125	32	12.25	9.058824	6.384615	6.666667	70.69697	65.538462	106.028571	67.7	39.261905	48.65	25.857143	56.375	6.75	31.142857	18.642857	21.416667
ASV_333	148.875	11.666667	12.375	88.823529	10.461538	31.6	78.69697	11.589744	9.771429	169.96	25.809524	9.575	31	37.75	15.125	11.5	10.928571	5.916667
